,Review_Text,Pred
18,"10D is my second home. This places ozzes warmth and affection by the management and the staff. A well kept place with great ambience catering to different age groups. They have some gigs organized periodically. The Brew beer here is awesome - Best in town. Kudos to Sanjeev & Palavi.
I would like to highlight some of the friendly and helpful staff in-house. Johnnie Blessie... We all call him John/Johnny he is your go to man for any thing and every thing here at 10D.
Pradeep Pappu- The most generous and helpful guy on the list of staff.
Keep up the good work.",5.0
19,"I had huge expectations on food based on the review but taste was not up to the mark. And staff is not customer friendly.
Not recommended to anyone",1.0
20,taste was good,5.0
21,"Overrated restaurant with pathetic service and average food. Spent 2.5 hours just for starters and main course. Had 2 rounds of rotis before paneer sabzi arrived. After asking manager that we have ordered main course more than half hour back, he told that you have ordered only 5 mins back. After this episode also it came after half an hour more. Visit the place if you have free time and want Air condition. Nothing else you can expect.",5.0
22,good service,5.0
23,"Early Christmas celebrations. we were dressed up and wanted fine dine. We were told that Barbeque Nation is always booked, we tried our luck anyway and got a table for 9:30.
From the greeting to serving and the host was so nice...I must give them 5 stars for excellent customer service.
The Starters were amazing....I love prawns but it's kinda tricky to get perfect and well seasoned 
But their Prawns are the best grilled prawns I ever tasted. They could have done a little better job for tandoori chicken but it was fine ..... the starters were so yumm that we didn't want to try the main course.... My personal favs were Grilled Prawns and RoseMary Chicken...mmm..  mmm... mmmmm yummy !!!! 

Thank you so much for your excellent service and Great Food..Hope to visit you guys soon..!!!",5.0
24,"If you want a good Chinese food, this is the right place to visit. A good service given by Ms.Uma chhetri.Ambience is decent.
Will surely visit again.",5.0
25,Sonalin is a very good singer in city . Please invite her once again to tilt. With a beautiful face. I heard her last Saturday she is just beautiful singer.😍,5.0
26,This was an amazing place . You can go there with friends and partner . Awesome ambience and also provides indoor and outdoor sitting area. The food was delicious. We ordered garden fresh pizza and cheese kurkure fingers . Both were amazing . A must go place,5.0
27,Good crowd and ambiance. Pre booking of table is highly recommended if you don't have plans of just drinking and dancing. The floor is big enough though the crowd outnumbers the capacity of it. Great place for a crazy weekend party!,4.0
28,Best service ever! Sarveshvar rao did the best service ever i am so happy with his service and hospitality. Please recognise his efforts and wish him the best in the world,5.0
29,"The visit to this place was something on my mind for a long time. This was rated highly on Zomato and was recommended by a number of my contacts, so decided to give it a shot on a Friday night with the 'homeminister'. 
We came in late but the place was still lively. On entering, you definitely notice the ambiance which is a bit idyllic and retro. With the 70s and the 80s song playing in the background, you definitely feel like going back in some time. 

We settled in and ordered fries, keema pav, and chicken farcha. To gulp it all down we ordered the Irani chai. 

Boy o boy we were in for a treat. All the dishes were simply delicious and mouthwatering. Their keema pav is true to its name and fame, amazing. The chicken farcha was crispy on the outside and juicy inside. All the dishes were served piping hot which enhanced the taste.

Service was a bit slow but it could be understood as the meals were served hot. Though the place is small, it can comfortably sit a good amount of people with seating outside as well. Slightly on the pricier side, we still felt it was worth it given the quantity. With the trusted name of Karachi sweets as the backers, you can definitely count on the quality. 

Ambiance - 4/5
Service - 5/5
Food - 5/5
Value for Money - 4/5",4.0
30,"I ordered Chicken biryani and egg biriyani. Food is awesome, very nice place and great ambitious. Will definitely come again next time and service is too good....",5.0
31,"Its nice place to dine for team lunch ...
Great service
Great food...

Nice ambiance
we want to visit again we loved service thanks team absolute",5.0
32,"Surely ,this is one of the best ,place to enjoy weekend, good food , beverage ,music , what else to you need ....must try... recommend for corporate crowd",5.0
33,"we went for a team lunch, such a worst restaurant.. food was tasteless, service was very slow and Ac was not working. We’ve requested them multiple times but its of no use. Please don’t waste your money and I strictly recommend not to prefer beyond flavours,",1.0
34,Masha Allah 👍,5.0
35,"Great Service by Sabir. Thanks a lot man. The food was great, the service was impeccable. Keep up the good work. Gonna keep coming back. This place is awesome",5.0
36,Paradise is one my favourite restaurants to eat briyani once in a while .... It's good with the service and as well the food .... Too yummy ... Tasty too ....,5.0
37,"bad cold waffle..
stretched like rubber",1.0
38,"One of the best rice combo available with faasos

Must try

Taste 5/5
Packing 5/5

Comes with one gulabjamun complimentary and
Teekha seasoning.",5.0
39,"This restaurant has gone way below the acceptable quality levels. Had been a great place to go earlier but looks like they have started compromising in quality of food and service. Items on the menu aren’t available but offered what they had at that time. Rice was watery, none to care for your concern but were commenting on what was wrong and it was eatable. Will never come here again.",5.0
40,"Food quantity, quality and taste was good each time I have ordered from this restaurant and also reasonable price. Must try chicken biriyani.",5.0
41,"ordered Khaliooz and samoli shawarma, everytime the quantity used to be good now the meat was very less in quantity and quality doesn't meet standards.",3.0
42,"Great food, i love the ulvacharu biryani from here. Ambience is alright but could be better.taste wise,awesome! But most importantly prices are very competetive which makes it affordable.",5.0
43,"This is worst place in gachibowli, let me tell you wat happened as soon as we came in bar worker suggested to sit near corner its was kind washroom near. When whole bar was empty on Friday night, as I gave full mouth full to bar workers as insulted guests by asking them sit in corner as if we are cheap. I gave him wat he deserves. I sincerely suggest ppl not to go.",1.0
44,good,5.0
45,"Really These BarbeQue Nation's outlet is so friendly....i never seen before....we went there last night, total number were 40+...lots of kids were in my gang....they are playing a lot....they are means staffs of Barbeque Nation, always looking smile....now, foods are just too good...Kuch kehene ki baat i nehi hain",1.0
46,"I ate : butter chicken burger, paneer tikka roll.

The burger was disgusting. The patty had a weird cloying, sweet taste, and the mayo made it worse.

The paneer tikka roll was nice and crispy on the outside, but the paneer was very dry. Almost like rubber.",5.0
47,"The perfect place to spend a rainy afternoon with your loved one. This retro Cafe will rewind you back to the 70s. Ambience is the USP of this cozy little cafe. Old classics playing in the background would soothe you with nostalgia.

We settled for an Irani Chai coupled with Mawa cake. While the tea was top notch, the cake was just about average. Service is very good.

Overall, one of those places where ambience can pull you again and again",4.0
48,"Bad experience, first they denied zomato gold benefits by stating ""today is 15th aug"" so no offers. To be honest food was even more bad, paneer gravy was so watery n tasteless. Not recommended at all..............................",1.0
49,"Frio is set in a dark toned theme with black walls and complementing prismic mirrors with dim lighting to set mood for a quiet, interesting evening conversation.
The music is contemporary and thankfully not too loud. It moulds into the environment without intruding into your private space.
Service was fine. We had to keep a lookout for waiters rather than them looking out for us, but were courteous and friendly.
Here is what we ordered:
100% arabica cold coffee - basic and just right. Creamy and not too sugary.
Dark chocolate shake - absolute yum and sinful. It tastes exactly as you would want it to. The only ask - since it's categorized as thickshake, it should be thicker, but I guess that's the case with shakes served anywhere in the city.
Chicken ala plancha - Sheer dissapointment, especially given that it was in chef's special menu. It was as ordinary as ordinary can be. We ordered scallion rice on the side as the dish is incomplete without carbs. It's basically a tomato gravy with chicken and hardly any seasoning. Wouldn't recommend.
Lamb ravioli - It's a shame we don't get ravioli in most of the outlets across the city serving pasta. Even if they do, it's mostly vegetarian (spinach and ricotta cheese without exception). To our delight, Frio doesn't disappoint here. The ravioli is good (doesn't make it to my top 5 list), but still good. Ravioli was cooked well, herbed garlic bread on side was great and so was the tomato gravy.
We couldn't get to dessert as we ordered our food during the final order (20 mins before closing), but I have heard that their tiramisu is great.
All in all, Frio is a good place to visit. In terms of food, you could love or let's say not love the place basis what dish you ordered. I won't be a frequent here, but wouldn't mind going back for another try either. Happy dining!",4.0
50,"worst biriyani ever had. there was some small pieces of chicken curry (dry) placed over some rice. I don't know whether you have learnt atleast how biriyani looks like even after being in the city of biriyanis, that it is not just some pieces of chicken kept over a lump of basmati rice. pls grow up. (no 0* option)",1.0
51,"Food looked so yum!!! But sadly I could have only two morsels because then I realized that my ""pure"" veg fried rice and paneer had scrambled egg ""remains"" in it. Not one whole egg, so that I can at least remove it (I am not repulsed by egg, chicken would have been a different story, of course!) But this was bits and pieces mixed in the rice and gravy. No way to remove them.

I would recommend this place to non vegetarians. Order veg and get non veg for the price of veg!

Vegetarians beware!!!

I have just added the initial pic with the big piece, the rest small pieces in the rice, I did not have the patience to click or pick.
Never ordering from here ever again!",1.0
52,"I ordered 1 plate noodles & 1 plate Manchurian, from which Noodles taste was very bad. So I recommend that not order noodles from this restaurant.",1.0
53,"Have been to this place after hearing lot of good reviews, I can rate the food as very delicious,(specially pachimirchi Kodi Pulao) accurately spicy, varied dishes in the menu but I had a very bad day with respect to service.First of all there were hardly 2 waiters who were available and even though it was not crowded they were unable to address the customers and were confused with the menu as once they said bamboo chicken was not available and then when ordered some other starter came back with bamboo chicken secondly after some time those 2 waiters were missing and the whole floor was left without anyone to take care of guests. I hope that this is one of those cases and there wouldn't be other customers facing the same issue given the brand they own.",1.0
54,"The parans is very good and
Ege biryani is very good and
Service is very good and
Next time visit again with my friends and family lastly thank you",5.0
55,"Monday blues can go away if the day ends a relaxing note and on top of that when you have GOT being screened then things get better. Yes you heard it right they are screening the latest season of GOT. I had received an invite from this restaurant for review on their summer special menu of cocktails, yes they have a new menu for that to try now. They are ""fancier than you are"". 😎😉🙂

I ordered for 🍅🍸 Blood Diamond Bloody Mary to start with which was different when they added Dijon Mustard. You can taste the mustard twist and smell the coriander leaves in the cocktail. The bartender brought the ingredients in test tubes, mixed it all up on the table and shook it just before serving. My next cocktail was Thyme of Your Life, well that had quite an interesting presentation with dry ice. Now, this drink actually gives you a kick 🙃😜🤪 in first sip itself. The 🍑 🍸 peach and vanilla flavours makes it refreshing but the thyme gives the twist in the taste. I would definitely recommend this beautifully presented drink. Coming on to the food- after going through the menu for a long time I finally ordered the Indianised version of Pasta- Fusili in Kasuri Methi and Coriander sauce. The name seemed to be different and you get a very light aroma of methi and coriander seeds being infused in the cream sauce. It was full of medium size diced veggies like- Zucchini, bell peppers, broccoli and 🍄 mushroom and sprinkled with very finely chopped coriander served with 2 slices of garlic bread 🍞 😋.

It was good experience on my first visit. The staff was courteous, polite and very patient with their guests. Overall I would like to rate it 4/5. You should definitely try this place for hangouts.",5.0
56,"Too much expensive for the quantity served. Not worth the money. Most items in the menu aren't available.

Taste is just average. Not recommended",1.0
57,"Need to improve a lot on ambience. Whether it’s Pathar ka ghost or any other mutton recipe, it’s simply very good. Servers are not very well trained but surely very polite. Pricing is what anyone just so look for.",2.0
58,Good,5.0
59,"Just ordered special desi chicken shawarma from this place and was the worst shawarma i had lately, very very less chicken filling and dull flavour. Not at all worth the price.",1.0
60,"Ya i Started with a starter what to say i ordered stuffed crab and its not spicy as i thought its not at all spicy adding pepper and salt gave more taste and its around 300 i guess and fish starter is also good and its spicy, yum and many pieces were given too.This hotel is famous for sea food.Thought its famous for sea food when i asked for lobster they could not able to provide and my suggestion is they can add more varities of sea food which are available in India too.I felt like limited edition of varities are a available here.then my tummy is full with 2starters and then came devils chocolate cake oh gosh its like a heaven for me and its around 280.This hotel gave a Goa touch they have buffet and everything and live music too.cocktails and mocktails are available too.The waiters were also dressed in the theme of beach and good place to take pictures also.

Ambience 5/5
Food 5/5
Service 5/5

Cost is resonable.",3.0
61,very quick delivery..,5.0
62,Reduced the quantity from before. I hope they get back to the old times,1.0
63,"Definitely a very popular bakery in hyderabad and for a good reason. Amazing cakes and brownies. It is one of those high end classy bakeries in town with a well established fan base who would vouch for it forever.
My personal opinion is that it is a tad bit too hyped which has enabled them to slot their prices so high knowing that people would still buy them. I didn't like the fact that you have to purchase a box full of brownies or cupcakes and no less. Additionally the icing on the red velvet cupcake was way too sweet for people's taste. Brownies though are super soft and amazingly baked to perfection and so are their cakes.",4.0
64,The ambience and food was amazing. Too mesmerized by the service provided to us by Tapan. Overall wonderful experience at this restaurant. Will recommend this to my friends.,1.0
65,"Pathetic customer service. We called and enquired if stag entry was allowed and they said yes. Once we reached here, stag entry was not entertained. When we told we had already called before coming, they said we will allow stag but not dance floor. Why the hell you can't clarify all your nonsense rules over call",1.0
66,"Had a great time in Mathura vilas, ambience is okayish.. Staff was friendly but server presented all the starters and main course at one go which was little weird and by that time food was cold.. ☹️",5.0
67,Good,5.0
68,good,5.0
69,"It was supposed to be a really casual lunch and we didn’t expect this place to be nice but were surprised for sure.

So it’s a nice restaurant with well arranged furniture and light. Has a buffet lunch which is very convenient for Software professionals and casual lunches with friends.

I have small complaints which are listed in the end but apart from that I had a nice time.

So in the spread, something that I loved dearly was the Chilly Prawns. I just couldn’t get enough of it. It was amazing.
The chicken was alright. But I can say but prawns were the best. Although they were really small, but can’t complain much. They didn’t give us fish even after we asked for it.

Staff: attentive and service was okay.

Ambience: very nice place, looks good, clean, effort was put in to make it look nice.

Food: food was definitely good I liked it quite a lot apart from the desserts. They were pretty bad.

Complaints: Starting with the ice cream guy- they have a cold stone ice cream. He broke a water glass on the bar counter while making ice cream (technically just mixing it) and he used his already worn gloves and ice cream scoop to push the glass pieces away. Didn’t wash his hands or change his gloves or wash his scoop. For all we know the glass pieces were still on his hands and scoop.

Second is also with the ice cream guy, we found hair inside the ice cream he made us and returned it immediately. Lost our appetite soon after that.

Third is with one of the waiters, probably didn’t want to give us fish even after we asked him to get us some which was on the buffet menu. He agreed to get some but never showed up with it. I hope it’s his memory and nothing else that caused the problem.

Hopefully management reads this and takes action on it.

If those factors are avoided, then will go again definitely.",4.0
70,Best Place to Hangout...Rahamat and Bahadur has served is with very good we are very happy to there service also again visiting soon love abs ..........................,5.0
71,"Delivery - always on time
Great value for money
Taste - consistently good. I have tried various rice bowls from menu.
Packaging - Awesome & hygienic",5.0
72,"Such a pathetic experience I had in this place. 
First, I called them on their number to check if it is open at 6 PM on a Sunday. The person who received call on behave of Prism stated that it is open from 6 PM. Once we reach there by 6:30 PM, no staff was ready to respond and said who told you it is open now. The way they spoke to their customer is really annoying. ""I Don't know to whom you have called and taken the confirmation about the open hours but, as you came early I am considering you and giving a table"". Is this how low they treat a customer? 

Secondly, When requested for a good seat as there is no crowd available. The manager or a person with attitude told us ""No, there are no seats available""(In a bold manner). When I checked from Zomato there are plenty of tables available. I got pinched with irritation. Though, I felt the lighting is good and order for drinks to my friends.

Finally, Me and my friends were feeling uncomfortable with the way people treating their customer. And then, mosquitoes came into picture. There are full of mosquitoes hissing around our heads and of course no AC has turned ON. Out of frustration, we tried cancelling the food that was ordered by us and everything we ordered. They said, it is not possible to cancel the order and your order will be here in 20 minutes. I was like ""WTF"". I asked for cheque and paid the bill without having anything and left the place. Such a disappointing experience it was. I suggest do not visit this place where customers are not treated well.",1.0
73,"Somewhere i feel like this n shah competes with each other, one triesto deliver the best carrying both quality and quantity. Seems like they ain't running for money but to feed us hahahaha...!!",5.0
74,"It's Barbi boss...no comments.
It's was sudden plan from Gang to visit this place, fortunately that day was 10 years celebrations day of BN.
We got some discount on bill also. We all from coastal area basically and sea food lovers.
Believe me or not, I loved and felt happy wit prawns here...yummy and yummy.
It might silly...we did justice to my money, may more also.
That was a weekday and I want to try this place on some weekend",1.0
75,Had a great team dinner at 3bs gochibowli with my friend. And mainly service by gobind bro. He is very polite and humbel. All things are really very nice.,5.0
76,"A complete and absolute disaster. The place where we sat was dirty. There were cracks on the walls. We ordered the food to be less spicy but I guess they cook how they want to cook. The AC was non-existent. It felt like we were sitting in a tandoor. The service was pretty slow.  If you bring food you bring the starters together and then you don't put a gap in between the starters and the main course. The taste was appalling, sub-par service, being in one of the prime locations. I have ordered a lot of times from Kritunga Madhapur and that one is very good. I think Kritunga Gachibowli has a long way to go before it becomes worth the money. Wish them the best",1.0
77,"Ordered haleem from shah ghouse, It has got really very good taste, quantity and consistency. Really satisfied with the order. But samll suggestion, please add some more dry fruits",1.0
78,Very Nice Place for Corporate Team Lunches. Heaven on Plate is the Best Dish that you can Order here. Starters Roasted Lamb and Shanghai Prawns are delicious,5.0
79,Good sizzler taste. Portion size may be too much for a single person. They were kind enough to share all the sauces extra to mix and have different tastes.,5.0
80,"Been to this place for the first time.
Absolutely loved the experience and service.
Would come back here again everytime I visit Hyderabad. A must try!",5.0
81,"Another brand associated with the city Hyderabad with the likes of Paradise & Bawarchi. Almost every passenger flying out of Hyderabad airport has a package from Karachi Bakery in his/her hands as per my observation. 

I found this outlet nearby where I was staying and walked down there post lunch to buy some stuffs back home to Chennai. It has got a nice ambiance and when you enter, all you see is boxes and boxes in different shapes & sizes ready to be taken. 

I took in a couple of boxes. The Premium Assorted biscuits box which consisted of Fruit biscuits, Osmania salted ones, Pistachio and some Cashew biscuits and also another Fruit Biscuits box for the office.",4.0
82,"Amazing red velvet brownie.Melts in your mouth and a must try.
cupcakes are nice but brownie is a clear winner.
Prices are a bit high.
got few boxes of cupcakes and brownie.",4.0
83,good,5.0
84,on time,5.0
85,good,5.0
86,"If you ever want to enjoy amazing food and desserts and drinks then please, I request you, please visit this place. Great ambiance and music. We had ordered Mexican Pizza, Chicken platter, seafood platter, Chicken Penne pasta. In desserts, Cheesecake and Brownie and Ice cream was the best. 😍",5.0
87,"I am not a big fan of sports bikes, but I totally loved the place.
The interior and lightening is really soothing.
I preferred sitting on the first floor as it gave a better view of the place.
For food, we ordered a chilli garlic toast, chocolate donut with Mocha Frappe and Vanilla Frappe.

Individual Rating:
Food: (4/5) the donut was not upto the mark
Service : (5/5) It's self service, but my order was ready in like 5 minutes
Pocket Friendly : (4/5) The portion size was really small for the money they were charging
Ambiance : (4/5)

I really wanted to give this place a 4.5 star, but that cannot happen on Zomato now.",1.0
88,Very poor service I went in day time and took 40 min to serve nachos. Food taste very poor. I could rate this place -ve. They have speciality to server hot beer. There staff is not entertaining.,5.0
89,"Very bad service and worst food they showing with coke but they didn't send taste is very bad.dont go this restaurant
Very very bad experience with this restaurant",1.0
90,This place is perfect for party for weekends and weekdays. Love for music and alcohol / food. So delighted by the service from Mr Avijit Bag. Will definitely visit this place again.,5.0
91,Food was good but it was all leaking from the plate. And so quantity was very less as compared and i expected rice as well with the thali but it was missing,2.0
92,"""THE BEST"" Barbeque in the city or across many cities. The food quality, food taste, food variety everything is just awesome. And the best part is service. Waiters are very well trained and polite. You would simply love this restaurant. Has vallet parking too.",5.0
93,"As part of tasting review, ordered masala paneer wrap, jumbo chicken wrap and sigbature rice roasted chicken, you guys rock, well balanced taste , wraps are stuffed with lots of chicken, they are juicy and soft, signature rice is well cooked, packed perfectly, served hot and quick delivered.
Check the packing you will see funny quotations in the wrap boxes, they r funny next time dont miss to read them.
Overall satisfied with the taste and service.
Will visit the store soon. All the best guys.keep going.",5.0
94,"Tried two places in same venue on Saturday evening. In Hyper Local first, Seated outdoor as inside is little loud to my taste at 6:30pm.Ordered drinks and snacks, spicy chicken wings very hot, average taste (3/5), chilly cheese toast-drab dry (3/5). Drinks front my friend ordered small rum since its happy hour got one plus one, I got my beer then as last order for happy hour ordered large vodka, after getting one when asked for plus one - reply is oh we assumed you asked us to make one large out of two small!!!!!!. Now OK I can forgive that its misunderstanding suddenly we get the check asking to pay up while still having our drinks. When told we have not asked for same and may be want to eat and drink more reply received is oh but we have policy after happy hour everyone has to pay and if required restart new billing.

People who made this place have spent money sadly should have visited good places around world to see its not only ambiance to nonsense music but food quality and service quality which makes reputation. Good bye for ever.",4.0
95,Quality of food is really great. Ingredients are top of the line which give a great product. A must visit. Service is equally great. Our food took some time but it was worth the wait. ( The restaurant was busy with the Sunday Brunch and probably alacarte orders need equal attention),5.0
96,nice,5.0
97,"BDubs continues to be on top in the race of Buffalo fried chicken. The pizzas, burgers, desserts are equally good. The service is friendly and fast. The ambience is amazing and private. The prices are fine. Neither too cheap nor costly. I personally enjoyed my experience and I'll probably visit again. I'll recommend this place specially for parties.",5.0
98,Wonderful ambiance and staff were very pleasant. The music and food was extraordinary. Good place to hangout with all office family and friends,5.0
99,"Nice place for desserts. Tried their red velvet cheese cake which was okayish as I am not a fan of the same anyway. And had packed a chocolate cake. The cake was really tasty and filling. It had that rich taste of chocolate and the texture of the cake was amazing. It was packed very well.
These guys are great with their quality and presentation.",4.0
100,"This cafe has a retro feel and it carries it very well.
The staff is very courteous and patient.
Their speciality, baida roti, a stuffed paratha is AMAZING!!",3.0
101,"Went two three times after that decided to give the rating 5. 
What ever the item I consumed are very tasty. Like paneerbutter masala, aloo paratha, paneer kulhca, samosa ragada, chole batura. Not enough place, packed with people, still delivering the orders in time is good. Overall you can visit this place.",4.0
102,This is one of party hubs of Hyderabad. Initially somehow I didn't like it but after 2 or 3 visits the place grew on me. We now frequent the place for the mahol of the place. Ambience is pretty cool and nice crowd as well.,4.0
103,"Well this is the first time I ordered from NorFest - The Dhaba. I ordered for mutton combo meal which contains rice, dal makhani, 2 paratha and mutton with a pocket pinch of Rs. 400. However, very disappointed with the quantity of food. At that price range they are not providing a proper portion . Moreover the mutton was well cooked but out of 4 small pieces, 2 of them had bones and no meat . Kindly donot deceive your customers like this with good packaging . I gave three star only for the quality .",5.0
104,"So as part of this food tasting festival, I was sent a royal Navratri meal that had paneer makhanwala, singhada aloo paratha, hare tamatar ki sabzi and saabudana vada. It’s an absolute delight for someone who’s fasting during Navratri. Each and every dish was just yum! Even if you’re not fasting you should try this. Slightly overpriced but it’s worth trying. The paneer and paratha were the best part of the thali.",5.0
105,"Worst thing I got 4 dinner, I ordered Full grill it was not all grilled unable to eat also Full like a flesh the worst grill in my life I hate",1.0
106,The place refused to replace quarter plate. The service is pathetic. Food is on table but no spoons or forks. The manager has one answer they are playing by rule book,5.0
107,It's a duo restaurant where you can have Chinese and sizzlers together available at one place .... well quantity is much less compared to price and taste is not that good though as Chinese should be at that price...,4.0
108,Super fast delivery,5.0
109,"Was here on a Saturday night for my dad's birthday. A wonderful place to spend an evening with your family and loved ones. The ambiance is calm and perfect. The staff is very helpful and understanding and will help you with anything you ask them for. The place is managed by Nithin and his courtesy and nature of serving the customer is just worth to note. Had a wonderful time, cheers.",5.0
110,"I ordered their Special Chicken Shawarma from Zomato. First look it was quite heavy for one shawarma. The quantity is huge but coming to cons which is a quality.It is not at all good. The chicken was hard and unnecessarily they made it too spicy also. It usually stays open late night but don't order from here still.The quality needs to improve a lot.
Stay healthy. Keep eating..not from here.
Cheers",1.0
111,"Went to Pour House 7 in Gachibowli recently. The rooftop seating is very airy. We ordered:

▪Virgin Mojito - tasted ok.
▪Orange chat pat - Tasted yummy!
▪Chicken Manchow soup - tasted ok
▪Hyderabadi Tawa Fish - this one was a crowd pleaser but unfortunately couldn't please me :(
▪Lahsuni Paneer Tikka - paneer tikka was good, flavors were well balanced.
▪Tangdi Kebab - it was ok
▪Tandoori Brocolli - this one was impressive. I liked the lemon marmalade that they served with it.
For main course we orderd:
▪Butter Naan - it was way too thin and oily.
▪Murg Cashew Nut - Tasted good.
For dessert we had:
▪ Brownie - the sides were too crispy. Could have tasted better.

Overall, I think there's room for a lot of improvement in their food and ambience. The music can also be better. Hope they will take it as constructive feedback and work at it :)",3.0
112,"First time I have tried Arabian chicken soup , I feel a different taste which really exited me to have one more.
And also I ordered the fish haryali tikka , the quantity and quality of the food really gReat. Finally I tried the marsala special chicken by Having little drops of lemon juice the taste is outstanding.
The small concern is the naan edges are bit thick. And remaining All others are great.",5.0
113,"*go here only if you want to drink and dance. Not a place for casual chat*

Food - 5/7
Ambiance -4/7 ( tooooo loud music)
Service - 5/7
VFM - 4/7

We went there for dinner and I was hoping it to be as good as the movie La La land.. But couldn't bear the extremely loud music at all.. It's impossible to talk even with the person sitting next to you..

Though the taste was decent, we couldn't enjoy the food for the same reason..",4.0
114,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5.0
115,Good quality sea food. I love mixed pan fried noodles the most. Too healthy food and the quantity is also good. I feel dine o China as the best Chinese restaurant available here,5.0
116,very good,5.0
117,o,5.0
118,"Nice service, soothing music and great ambiance! Mr. Sarweshwar was very cordial and prompt at service! Had some different types of food and drinks for the first time.
Would love to visit this Gachibowli branch again!!",5.0
119,not goid,5.0
120,"Out with family for dinner excellent food with exceptional service, plenty of choices very good quality and quantity definitely will visit again.",5.0
121,Good service and all food very good taste......Biryani super looking and my family is very happy thank u so much so come for again paradise gachibowli.,5.0
122,Not as good as it used to be.Used to like pasta a lot but turned out to be a big downer this time with degraded quality. They definitely lost a repeat customer.,2.0
123,"One of the amazing places in Hyderbad serving good Punjabi food.
Had aloo kulcha with dal makhani , aloo paratha with chole and paneer tikka. All the dishes tasted awesome. Service is also good.",5.0
124,tho the is good he doesn't know the route . I had to guide him .,5.0
125,"We went as a group of 5 on a saturday night.
The ambiance and decor was good. Mosquito filled.

We had ordered
3mushroom soup : decent
Margarita pizza: we asked for a slight customization but sss not adhered to but given his own will on it
Quinnoa chat : surprisingly different and nice
Battered fish : decent
Kun pao chicken: succulent meat ... done well
Teriyaki mushroom: tasted more sour than like teriyaki
Borcolli kababs : melt in the mouth
Noodles were done well
Lamb in lemon butter sauce : i think a wrong dish of lamb was served
Cheese cake : done well..
Apple pie : okayish

All in all the food was decent but the service was pathetic.
We moved from outside to inside ac due to mosquitos and the rooms were also mosquito filled .. when asked he bluntly cited that there is nothing they could do.

The staff have no clue of the menu. Also food is not served in time, the lamb came 20 minutes after we finished rest of the maincourse.

Food : 3/5
Ambience: 3.5 / 5 it would have been a straight 5 if mosquitoes were dealt with
VFM : 3/5
Service : 0",4.0
126,I ordered fries rice and Manchurian. First i will talk about the quantity it was upto thw mark as per the price of the food abd now coming to the taste . Fried rice was disgusting because it was like made from rice of last night and it was not good to eat. Coming to Manchurian i will say it was a average Manchurian and not that good.,2.0
